ID,Request_Number,Sender,Sender_Location,Request,Language_Request,Recipient,Recipient_Location,Request_reason
177,NA,Parent,"Estherwood, LA",God Bless My Darling He's Somewhere,English,Child,Stationed,War
178,NA,Unspecified,"Hackberry, LA",Jolie Blonde,French,Unspecified,"Hackberry, LA",Unspecified
179,3,Unspecified,"Creole, LA",Soldier's Last Letter,English,Unspecified,Unspecified,Unspecified
180,5,Relative,"Jennings, LA",I Don't Want a Sweetheart,English,Relative,"Jennings, LA",Regular Listener
181,NA,Unspecified,"Hackberry, LA",You Can't Put That Monkey on My Back,English,Unspecified,Stationed,Unspecified
182,NA,Sibling,"Grand Chenier, LA",Don't Sweetheart Me,English,Sibling,Stationed,War
183,NA,Relative,"Lake Charles, LA",Soldier's Last Letter,English,Relative,Stationed,War 
184,NA,Friend,"Iowa, LA",South,Unclear,Friend,"Lacassine, LA",Unspecified
185,2,Unspecified,"Lake Charles, LA",Wednesday Night Waltz,French,Unspecified,"Lake Charles, LA",Regular Listener
186,NA,Child,"Jennings, LA",The Gueydan Blues,French,Parent,Unspecified,Regular Listener
187,NA,Multiple,"Oberlin, LA",That's When It's Coming Home To You,English,Multiple,Stationed,War
188,NA,Unspecified,"Hackberry, LA",Take Me Back and Try Me One More Time,English,Unspecified,Unspecified,Unspecified
191,NA,Unspecified,"Fenton, LA",Miss Molly,English,Unspecified,"Lake Charles, LA",Regular Listener
192,NA,Parent,"Lake Arthur, LA",I Am Walking the Floor Over,English,Child,Stationed,War
193,NA,Child,"Lake Arthur, LA",Jolie Blonde,French,Parent,Stationed,War
194,NA,Unspecified,"Hackberry, LA",God Bless My Darling He's Somewhere,English,Unspecified,Stationed,War
195,NA,Friend,"Lake Charles, LA",No Letter Today,English,Friend,"Lake Charles, LA",Love
100_1,,Unspecified,"Gueydan, LA",I'll Be True While You Are Gone,English,Unspecified,Unspecified,Unspecified
104_1,NA,Unspecified,"Sulphur, LA",Jolie Blonde,French,Unspecified,"Sulphur, LA",Regular Listener
104_2,NA,Unspecified,"Sulphur, LA",Take Me Back and Try Me One More Time,English,Unspecified,"Sulphur, LA",Regular Listener
104_3,NA,Unspecified,"Sulphur, LA",Pins and Needles in My Heart,English,Unspecified,"Sulphur, LA",Regular Listener
106_1,NA,Friend,"Hackberry, LA",Born to Lose,English,Friend,"Hackberry, LA",Unspecified
11_1,,Parent,"Sulphur, LA",Pistol Packing Mama,English,Child,"Sulphur, LA",Regular Listener
142_1,NA,Relative,"Hayes, LA","Goodbye Little Darlin', Goodbye",English,Relative,"Hayes, LA",Unspecified
142_2,NA,Relative,"Hayes, LA",Milk Cow Blues,English,Relative,"Hayes, LA",Unspecified
142_3,NA,Relative,"Hayes, LA",Golden Curls,English,Relative,"Hayes, LA",Unspecified
143_1,NA,Friend,"Lake Charles, LA",Fire Ball Mail,English,Friend,"Hayes, LA",Unspecified
143_2,NA,Friend,"Lake Charles, LA",Honey I'm in Love,English,Friend,"Hayes, LA",Unspecified
144_1,NA,Relative,Unspecified,Lonely Mound of Clay,English,Relative,"Kaplan, LA",Unspecified
144_2,NA,Relative,Unspecified,Have I Stayed Away Too Long,English,Relative,"Hayes, LA",Unspecified
145_1,NA,Child,"Jennings, LA",Soldier's Last Letter,English,Parent,Unspecified,Unspecified
